ALG3,AP4B1,CDKL5,EFTUD2,FGF19,FLNA,FOXL2,HRAS,IKBKG,LETM1,MYCN,NBN,RNF168,SLC25A19,SNRPN,TUBB6,WDR62,AP4E1,AP4S1,ASPM,BUB1B,CENPJ,CENPL,CEP135,CEP152,CEP76,CHEK1,CKAP2,DLG3,ERCC8,H2AFX,HNRNPU,MCM8,MCPH1,MDC1,MRE11A,NES,NHEJ1,PCNT,PHF6,PLK4,PTER,RAD50,SEH1L,SMC1A,STIL,TSEN54,TUBB2B,USP39,VRK1,WHSC1,XRCC4,ZNF519,ALG9,CDK5RAP2,CRBN,NR2E1,PAX6,ZIC2,AKT3,CNTN4,COG5,FOXG1,GPR56,LIG4,SIX3,SLC9A6,TRAPPC9,TUBA1A,CHD3,COG7,KIF26B,MECP2,MZT2B,POMT1,POMT2,TSEN34,EFCAB2,HYDIN,TBR1,Cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0.768,0,0,0,0.977,0.981,0.91,0,0,0,0,0,0,0,0.659,0,0,0,0,0.971,0,0.993,0,0,0,0,0.716,0,0,0,0,0,0,0,0,0.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,0,0,0,0,0.909,0,0,0,0,0,0,2,1.868943806,0.667901156,1.045495539,-0.043250904,-0.297451499,-0.393020076,-0.842478722,-0.980536209,-1.025603093,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426,0.952,0,0,0,0,0,0,0.408,0,0,0,0,0,0,0,0,0,0,0,0,0.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.89369581,1.139820838,1.669319223,0.060541899,-0.545244444,-0.551552798,-0.591468937,-1.098558713,-0.976552878,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977,0,0,0.934,0.927,0,0,0,0,0,0,0,0,0,0,0,0,0.922,0,0.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461,0,0,0,0,0,0,0,0,0,0,0,2,1.52733295,0.996210633,0.769934937,0.237924131,-0.225457154,-1.489881989,-0.302934797,-0.247505064,-1.265623647,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,0,0,0.773,0.608,0.981,0,0.934,0,0.899,0,0,0,0,0,0,0,0.527,0,0,0,0,0.923,0,0.998,0,0,0,0,0.794,0,0,0,0,0,0,0,0,0.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.684505574,0.4878502,0.888898478,0.754922073,-0.201669296,-1.265731916,-0.60416984,-0.740388747,-1.004216526,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0.927,0.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914,0,0.907,0,0,0.568,0,0,0,0,0,0,0,0,0.514,0,0.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.696477618,0.904839918,1.185658293,-0.311958266,-0.739795692,-0.573694512,-0.383940077,-0.57543797,-1.202149312,
0,0,0,0,0,0,0,0,0,0,0,0.438,0,0,0,0,0,0,0,0.877,0.87,0,0,0,0,0,0,0.724,0,0,0.879,0,0.473,0.946,0.668,0.779,0,0,0,0,0.849,0,0.671,0,0,0.678,0,0,0,0.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.031926714,0.902827679,0.652813215,-0.331088292,-0.149358462,-0.549107797,-0.752353508,-0.890079666,-0.915579884,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.856,0.855,0,0.408,0,0,0,0.724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756,0,0,0,0,0.668,0,0,0,0.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432,0,0,0,0,0,0,0,0,0,0,0,2,0.322049409,1.358586697,1.813467961,-0.02567178,-0.374920685,-0.639718289,-0.449513636,-1.021700605,-0.982579072,
0,0,0.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541,0,0,0,0,0,0,0,2,1.365642766,1.18754724,1.012941648,0.29190102,-0.125432827,-1.076653625,-1.101659856,-0.869394167,-0.684892199,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.152078974,1.731074903,0.738294159,-0.02922253,-0.226632209,-0.529307087,-0.666476711,-1.070665601,-1.099143899,
0,0,0,0,0,0,0,0,0,0,0,0.999,0.986,0,0,0,0,0,0,0.425,0.73,0,0,0,0,0,0.879,0,0,0,0,0,0,0.767,0.999,0.994,0,0.744,0,0,0,0,0.985,0,0,0,0,0,0,0,0,0.657,0,0.619,0,0,0,0,0,0,0,0,0,0,0.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.134480336,0.474188392,1.567733272,0.562730745,-0.098518119,-0.706058455,-0.700649023,-0.785787268,-1.448119881,
0,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.914910908,1.265666819,0.464379592,-0.575963562,-0.273630458,-1.003479276,-0.636756679,-0.456406036,-0.698721307,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557,0.407,0,0,0,0,0,0.473,0,0,0,0,0,0,0,0,0,0.502,0,0,0,0,0,0,0,0,0.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.791500588,1.105799782,0.921716368,-0.338877784,-0.321288181,-0.802957669,-0.727371462,-0.82556444,-0.802957202,
