BARX1,DHCR7,FOXA2,FOXH1,GLI1,HESX1,LHX4,LSS,NODAL,PWP2,TDGF1,TRAPPC10,ACVR1C,GLI2,SOX2,TGIF1,BMP4,BOC,CDON,CHRD,DISP1,GAS1,GLI3,OTX2,PTCH1,SIX6,SMO,SOX3,WNT1,ZIC2,ZIC5,EN2,FGF8,FOXG1,MSX2,NOG,SIX3,TBX19,ZIC1,KIF27,VAX1,DYNC2H1,GDF1,HHIP,IFT172,INHBB,TGFB1,Cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.845365757,1.40833858,0.960276658,0.58615528,0.320996743,0.151006056,-0.054229571,-0.604561476,-0.922616514,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1.046167714,-0.690351427,-0.868262507,1.053318201,-0.407811318,1.946776633,-0.516811877,-0.053276292,0.5825863,
0.571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567,0,0,0,0,0,0,0,0,0,0,0,0.507,0,0,0.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1.559370839,-0.762374645,-0.540823235,-0.29080683,0.071526338,1.858701211,0.847688582,0.612666219,-0.237206802,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517,0,0,0,0,0,0,0,0,0,0,4,-0.932325008,-0.967306128,-0.989811958,0.557172964,1.933315758,0.28523316,-0.603478071,-0.12331246,0.840511743,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2.098824547,-0.469572847,-0.086260903,1.395239793,0.603151136,0.53734674,-0.670544929,0.451787975,0.337677583,
0.522,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0.999,0,0,0.868,0,0,0,0,0,0,0,0,0.835,0,0,0.419,0.428,0,0.563,0,0.43,0,0.854,0,0,0,0,0,0,0,0.504,4,-1.846906557,-0.503888678,-0.691587714,1.735413001,0.767373088,0.282489721,0.159917093,0.318893185,-0.221703138,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1.626009177,-1.454070625,-0.606305566,0.687426328,0.729276571,0.097196042,1.137857821,0.640544564,0.394084043,
0,0,0.419,0,0,0.462,0.499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1.862034973,-0.977194066,-0.290359543,-0.077262717,0.325791089,1.207775623,1.257662674,0.564666213,-0.1490443,
0,0,0,0,0.651,0,0,0,0,0,0,0,0,0,0,0,0.864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1.602679363,-1.319177062,-0.548065379,0.432718674,0.473371381,1.212531319,1.206052449,0.221193783,-0.075945803,
0,0,0,0,0.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1.538317928,-0.883767776,-0.884251776,0.068025401,0.292269552,-0.166761927,0.397482056,1.590355135,1.124967262,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,5,-1.06837596,-1.062745765,-0.946394717,-0.482858558,-0.065100419,0.264755479,1.779116219,1.02532871,0.55627501,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,0,0,6,-1.272816595,0.975689944,-0.673367757,-0.10878903,0.370479895,-1.275516156,-0.44090073,1.390473261,1.034747167,
0,0,0,0,0.424,0,0,0,0,0,0,0,0.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1.139280618,-0.301021335,-0.463870774,-0.312286712,-0.239175691,-0.537067999,0.199753805,2.39969327,0.393256055,
0,0,0,0,0.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425,0,0,0,0,0,0,0,0.659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552,0,0,0,0,6,-0.51335385,-0.457289619,-0.459735575,-0.366600604,-0.374629472,-0.44733343,-0.338407595,0.393855468,2.563494677,
0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1.070751813,-0.813763264,-0.891486652,0.314244009,-0.035296102,-0.674599293,0.063606675,1.49307245,1.61497399,
0,0,0,0,0,0,0,0,0.8,0,0,0,0.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,6,0.409254538,-0.889467164,-0.946235114,-0.945486671,-0.734583799,-0.023876952,0.696883665,0.421383652,2.012127844,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.241196304,-1.466943594,-1.287075684,-0.20923724,-0.754172503,0.395471841,0.663430306,1.17331459,1.24401598,
