ATP10A,CDKL5,DOC2A,GABRA5,GABRB3,HRAS,HTR1A,HTR3A,HTR7,LRFN4,MBP,NETO1,NIPA2,NLGN4X,NLGN4Y,SLC1A1,SNRPN,SNTG2,ATG4C,CTTNBP2,DLG3,DOCK4,GLO1,IQCB1,MCPH1,MTOR,PPCDC,PTER,UPF3B,ZNF232,APBA2,CDH8,DLX1,DRD4,FMR1,GABRB2,GABRG3,HOXA1,HOXB1,IL1RAPL1,LRRN3,NDNL2,NLGN3,NPAS4,NRXN1,PCDH17,PVALB,RBFOX1,SLC6A3,SLC6A8,TSSK3,ABAT,AHI1,ARX,AVPR1A,CDH10,CDH18,CELF3,CHRNA7,CNTN4,EN2,F10,GABRA4,GABRB1,GAMT,GPR37L1,GRIK1,GRIK2,GRIN2B,KCTD13,NIPA1,NLGN1,NLGN2,NRXN2,NRXN3,NXPH1,ROBO3,SHANK3,TLE6,CAPS2,FOXP2,GABRA2,GAD1,IMMP2L,ITGB3,LRFN1,LRFN2,MAOA,MECP2,NBEA,NDN,OXTR,SCN1A,SEZ6L2,SHANK1,STK39,ANK3,ATP13A4,BDNF,BSN,BZRAP1,C3orf58,CACNA1C,CADPS2,CLSTN2,COMT,DISC1,FBXO15,GABBR2,GABRG1,GRM1,GRM5,HTR2A,HTR2C,HTR5A,JAKMIP1,LAMB1,LRFN3,LRFN5,MARK1,NPS,NRCAM,NTF3,PI4KA,PTEN,RELN,SCAMP5,SEMA5A,SLC18A1,SORCS2,TBR1,TPH1,VIPR2,WNT2,ZNF804A,,Cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77,
0,0,0,0,0,0,0,0,0,0,0,0.461,0,0.484,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0.427,0,0,0,0.876,0,0,0,0,0,0,0,0.724,0,0,0,0,0,0,0,0.549,0,0,0.589,0,0,0,0,0,0,0,0,0,0,0,0,0.709,0.949,0.999,0,0,0.818,0.665,0,0,0,0,0.586,0,0,0,0,0,0,0,0.403,0.578,0,0,0.794,0,0,0,0,0.743,0,0,0,0,0.418,0,0,0,0,0,0,0,0,0,0,0.786,0.786,0,0.633,0,0,0,0,0,0.609,0,0.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.365642766,1.18754724,1.012941648,0.29190102,-0.125432827,-1.076653625,-1.101659856,-0.869394167,-0.684892199,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.322986745,1.822983302,0.621635564,-0.475993614,-0.503745509,-0.628410469,-0.482850254,-0.952605532,-0.724000232,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.857284657,1.053457915,0.12989595,-0.75958284,-0.058643158,0.012480412,-0.23323771,-0.374100144,-1.627555083,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.106154064,1.262636809,1.347802248,0.427284612,0.298478343,0.172423724,-0.701438369,-1.089067743,-1.61196556,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.183552322,0.514384279,1.440816969,0.054332192,-0.420140235,0.480670346,-0.623051903,-1.318307889,-1.312256082,
0,0,0,0,0,0.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647,0,0,0,0,0,0,0.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.908,0,0,0,0,0,0,0,0,0,0,0,0.407,0.408,0,0,0,0,0,0,0,0.503,0,0,0,0,0.995,0,0,0,0,0,0,0,0,0.451,0,0,2,2.155855514,0.881150361,0.084394537,-0.881902709,-0.45556594,0.295156595,-0.550004648,-0.875840699,-0.653243012,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.024864649,1.219922112,-0.268136286,-0.232033025,0.154774766,-1.044831921,-0.705263458,-0.653735953,-0.495560883,
0,0,0,0,0,0.567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.612229971,1.224358019,1.7700766,0.008151761,-0.374667839,-0.872422838,-1.103594912,-0.825005352,-0.439125409,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.891142088,1.79115682,0.719869899,-0.037564033,0.229376251,-0.552995102,-0.862347535,-1.052533541,-1.126104846,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.904562017,1.087493279,1.667332173,0.013121202,-0.735353507,-0.143642019,-0.737630211,-1.036708615,-1.01917432,
