Gene_Symbol,Day,Value,Cluster
RTN4R,d0,1.860851045,1
RTN4R,d7,0.299675843,1
RTN4R,d12,-0.963073673,1
RTN4R,d19,0.313392419,1
RTN4R,d26,-0.178082807,1
RTN4R,d33,1.071327085,1
RTN4R,d49,-0.383104403,1
RTN4R,d63,-0.847264909,1
RTN4R,d77,-1.173720601,1
SCARB1,d0,2.004603067,1
SCARB1,d7,-1.211064354,1
SCARB1,d12,-1.318110024,1
SCARB1,d19,-0.296752142,1
SCARB1,d26,-0.354737766,1
SCARB1,d33,-0.028472089,1
SCARB1,d49,0.225958318,1
SCARB1,d63,0.361024882,1
SCARB1,d77,0.617550108,1
SERPINE2,d0,1.19802024,1
SERPINE2,d7,-0.956641227,1
SERPINE2,d12,-0.928690298,1
SERPINE2,d19,1.897213711,1
SERPINE2,d26,0.425460255,1
SERPINE2,d33,0.00555358,1
SERPINE2,d49,-0.298127319,1
SERPINE2,d63,-0.581307596,1
SERPINE2,d77,-0.761481347,1
TFRC,d0,2.56111149,1
TFRC,d7,0.074164602,1
TFRC,d12,-0.175968459,1
TFRC,d19,-0.634841018,1
TFRC,d26,-0.162235884,1
TFRC,d33,-0.800944954,1
TFRC,d49,-0.523038076,1
TFRC,d63,-0.205260021,1
TFRC,d77,-0.132987681,1
TKT,d0,2.640222737,1
TKT,d7,-0.040108457,1
TKT,d12,-0.281774376,1
TKT,d19,-0.406592985,1
TKT,d26,-0.214276035,1
TKT,d33,-0.381244292,1
TKT,d49,-0.414562168,1
TKT,d63,-0.532312173,1
TKT,d77,-0.369352251,1
TOMM40,d0,2.631954669,1
TOMM40,d7,-0.101537803,1
TOMM40,d12,-0.214226368,1
TOMM40,d19,-0.223546053,1
TOMM40,d26,-0.228688866,1
TOMM40,d33,-0.28778499,1
TOMM40,d49,-0.491083118,1
TOMM40,d63,-0.571267249,1
TOMM40,d77,-0.513820222,1
TP53,d0,2.483249986,1
TP53,d7,0.247048253,1
TP53,d12,0.104381008,1
TP53,d19,-0.494796056,1
TP53,d26,-0.490190175,1
TP53,d33,-0.123427497,1
TP53,d49,-0.17343874,1
TP53,d63,-0.889286955,1
TP53,d77,-0.663539825,1
VCP,d0,2.359794088,1
VCP,d7,0.388012339,1
VCP,d12,-0.141517733,1
VCP,d19,-0.595183883,1
VCP,d26,-0.516997961,1
VCP,d33,0.389406935,1
VCP,d49,-0.275870544,1
VCP,d63,-0.559629529,1
VCP,d77,-1.048013714,1
VGF,d0,2.656888607,1
VGF,d7,-0.325102274,1
VGF,d12,-0.191523098,1
VGF,d19,-0.348644848,1
VGF,d26,-0.213535227,1
VGF,d33,-0.39886727,1
VGF,d49,-0.460689762,1
VGF,d63,-0.390486196,1
VGF,d77,-0.328039931,1
ZMPSTE24,d0,2.237100872,1
ZMPSTE24,d7,-0.348966649,1
ZMPSTE24,d12,-0.062612604,1
ZMPSTE24,d19,-0.98040584,1
ZMPSTE24,d26,-1.053559239,1
ZMPSTE24,d33,-0.565869726,1
ZMPSTE24,d49,-0.115046962,1
ZMPSTE24,d63,0.631192621,1
ZMPSTE24,d77,0.258167528,1
APOE,d0,1.67519944,2
APOE,d7,0.845728856,2
APOE,d12,0.401430848,2
APOE,d19,0.507270139,2
APOE,d26,0.193451917,2
APOE,d33,-0.257690726,2
APOE,d49,-1.432864855,2
APOE,d63,-0.832617131,2
APOE,d77,-1.099908489,2
BLMH,d0,1.131961063,2
BLMH,d7,1.805359572,2
BLMH,d12,0.47550176,2
BLMH,d19,0.411418009,2
BLMH,d26,-0.637120944,2
BLMH,d33,-0.551871934,2
BLMH,d49,-0.718062249,2
BLMH,d63,-0.952450505,2
BLMH,d77,-0.964734771,2
CASP6,d0,2.137880573,2
CASP6,d7,0.801800568,2
CASP6,d12,0.26142746,2
CASP6,d19,-0.348250043,2
CASP6,d26,-0.525641338,2
CASP6,d33,-0.880967833,2
CASP6,d49,0.130784105,2
CASP6,d63,-0.411730892,2
CASP6,d77,-1.165302599,2
CTNNA3,d0,1.001514607,2
CTNNA3,d7,1.090228256,2
CTNNA3,d12,1.716627555,2
CTNNA3,d19,-0.140830266,2
CTNNA3,d26,-0.499346479,2
CTNNA3,d33,-0.821421773,2
CTNNA3,d49,-0.796436593,2
CTNNA3,d63,-0.977115484,2
CTNNA3,d77,-0.573219823,2
DBN1,d0,1.948664696,2
DBN1,d7,1.333976867,2
DBN1,d12,0.141612151,2
DBN1,d19,-0.393468639,2
DBN1,d26,-0.710961985,2
DBN1,d33,-0.7693446,2
DBN1,d49,-0.133666584,2
DBN1,d63,-0.962804503,2
DBN1,d77,-0.454007404,2
DNM1L,d0,1.842374434,2
DNM1L,d7,0.773674032,2
DNM1L,d12,1.146841538,2
DNM1L,d19,-0.606841401,2
DNM1L,d26,-0.199859813,2
DNM1L,d33,-0.728339145,2
DNM1L,d49,-0.486101017,2
DNM1L,d63,-0.867501909,2
DNM1L,d77,-0.874246718,2
ENO1,d0,1.233408689,2
ENO1,d7,-0.385596487,2
ENO1,d12,0.496347864,2
ENO1,d19,-0.331355505,2
ENO1,d26,1.945123422,2
ENO1,d33,-0.7047557,2
ENO1,d49,-0.771573937,2
ENO1,d63,-0.721028141,2
ENO1,d77,-0.760570205,2
GGA3,d0,1.093827659,2
GGA3,d7,1.450843245,2
GGA3,d12,1.293478878,2
GGA3,d19,-0.168752977,2
GGA3,d26,-0.37884583,2
GGA3,d33,-0.636001493,2
GGA3,d49,-0.683880133,2
GGA3,d63,-1.125952621,2
GGA3,d77,-0.844716727,2
HSD17B10,d0,2.095385454,2
HSD17B10,d7,0.800150223,2
HSD17B10,d12,0.509658569,2
HSD17B10,d19,-0.35474502,2
HSD17B10,d26,0.103424882,2
HSD17B10,d33,-0.942531293,2
HSD17B10,d49,-0.861020791,2
HSD17B10,d63,-0.800500552,2
HSD17B10,d77,-0.549821474,2
MTA2,d0,1.589728004,2
MTA2,d7,1.222499058,2
MTA2,d12,1.058605761,2
MTA2,d19,-0.409235693,2
MTA2,d26,-0.400683922,2
MTA2,d33,-0.545444263,2
MTA2,d49,-0.561429905,2
MTA2,d63,-1.039253119,2
MTA2,d77,-0.914785922,2
MTOR,d0,2.155855514,2
MTOR,d7,0.881150361,2
MTOR,d12,0.084394537,2
MTOR,d19,-0.881902709,2
MTOR,d26,-0.45556594,2
MTOR,d33,0.295156595,2
MTOR,d49,-0.550004648,2
MTOR,d63,-0.875840699,2
MTOR,d77,-0.653243012,2
NGFR,d0,0.362572485,2
NGFR,d7,2.134260112,2
NGFR,d12,0.782412455,2
