Gene_Symbol,Day,Value,Cluster
GRIN2B,d63,0.260383225,4
GRIN2B,d77,0.133267474,4
NCKAP5L,d0,-0.655943631,4
NCKAP5L,d7,-1.60603055,4
NCKAP5L,d12,-1.028721716,4
NCKAP5L,d19,0.4418426,4
NCKAP5L,d26,-0.350354394,4
NCKAP5L,d33,1.080445722,4
NCKAP5L,d49,1.331521183,4
NCKAP5L,d63,-0.032980548,4
NCKAP5L,d77,0.820221334,4
NIPA1,d0,-1.96582876,4
NIPA1,d7,-0.824607843,4
NIPA1,d12,-0.139242481,4
NIPA1,d19,-0.452341428,4
NIPA1,d26,-0.109068174,4
NIPA1,d33,0.980937665,4
NIPA1,d49,1.073199192,4
NIPA1,d63,0.90982847,4
NIPA1,d77,0.52712336,4
NLGN1,d0,-2.304691509,4
NLGN1,d7,-0.784699189,4
NLGN1,d12,1.03300599,4
NLGN1,d19,0.423072118,4
NLGN1,d26,0.536070915,4
NLGN1,d33,0.476965938,4
NLGN1,d49,0.349334465,4
NLGN1,d63,-0.141066121,4
NLGN1,d77,0.412007393,4
NLGN2,d0,-2.108640009,4
NLGN2,d7,0.30930148,4
NLGN2,d12,-0.152893814,4
NLGN2,d19,-0.552400969,4
NLGN2,d26,0.288033742,4
NLGN2,d33,0.638301912,4
NLGN2,d49,1.623977728,4
NLGN2,d63,-0.004041157,4
NLGN2,d77,-0.041638912,4
NRXN2,d0,-1.326858917,4
NRXN2,d7,-0.843852658,4
NRXN2,d12,-0.972699786,4
NRXN2,d19,-0.508215042,4
NRXN2,d26,0.147445884,4
NRXN2,d33,0.520871468,4
NRXN2,d49,1.83525925,4
NRXN2,d63,0.537298597,4
NRXN2,d77,0.610751204,4
NRXN3,d0,-1.382350929,4
NRXN3,d7,0.524649168,4
NRXN3,d12,-0.674654434,4
NRXN3,d19,-0.964092923,4
NRXN3,d26,-0.479599337,4
NRXN3,d33,0.136061653,4
NRXN3,d49,1.918793258,4
NRXN3,d63,0.653755713,4
NRXN3,d77,0.267437831,4
NXPH1,d0,-1.128071456,4
NXPH1,d7,-1.698981741,4
NXPH1,d12,-0.348812449,4
NXPH1,d19,1.446923282,4
NXPH1,d26,-0.088467318,4
NXPH1,d33,-0.23048222,4
NXPH1,d49,0.90718386,4
NXPH1,d63,0.783802176,4
NXPH1,d77,0.356905866,4
ROBO3,d0,-1.476926236,4
ROBO3,d7,-0.649486078,4
ROBO3,d12,-1.617972314,4
ROBO3,d19,0.202253206,4
ROBO3,d26,0.808987402,4
ROBO3,d33,0.421757618,4
ROBO3,d49,0.649311223,4
ROBO3,d63,0.604185392,4
ROBO3,d77,1.057889788,4
